episode,player_0_avg_payoff,player_0_rl_loss,player_0_sl_loss,player_0_won_pct,player_0_under_pct,player_0_over_pct,player_0_per_beta,player_1_avg_payoff,player_1_rl_loss,player_1_sl_loss,player_1_won_pct,player_1_under_pct,player_1_over_pct,player_1_per_beta,player_2_avg_payoff,player_2_rl_loss,player_2_sl_loss,player_2_won_pct,player_2_under_pct,player_2_over_pct,player_2_per_beta,player_3_avg_payoff,player_3_rl_loss,player_3_sl_loss,player_3_won_pct,player_3_under_pct,player_3_over_pct,player_3_per_beta
500,-0.852,0.3493792414665222,0.18546146154403687,7.4,65.4,27.2,0.4001,-0.832,0.1857966035604477,0.037923406809568405,8.4,63.2,28.4,0.4001,-0.876,0.2833276093006134,0.04450410604476929,6.2,65.0,28.8,0.4001,-0.888,0.3845014274120331,0.0847536101937294,5.6,74.4,20.0,0.4001
1000,-0.888,0.30938100814819336,0.13497360050678253,5.6,78.0,16.4,0.4001,-0.836,0.27864256501197815,0.11609269678592682,8.2,64.4,27.4,0.4001,-0.856,0.4780045747756958,0.14171747863292694,7.2,71.2,21.6,0.4001,-0.904,0.24437493085861206,0.029007187113165855,4.8,77.4,17.8,0.4001
1500,-0.86,0.313822865486145,0.03552902489900589,7.0,75.2,17.8,0.4002,-0.848,0.4152931272983551,0.08139742910861969,7.6,64.8,27.6,0.4002,-0.864,0.3835539221763611,0.0738179087638855,6.8,67.2,26.0,0.4002,-0.908,0.48529329895973206,0.09307922422885895,4.6,73.6,21.8,0.4002
2000,-0.848,0.43819379806518555,0.11627763509750366,7.6,73.8,18.6,0.4002,-0.852,0.4058801531791687,0.06752844154834747,7.4,67.8,24.8,0.4002,-0.848,0.3536858856678009,0.08830255270004272,7.6,66.6,25.8,0.4002,-0.892,0.2549061179161072,0.06527020037174225,5.4,68.6,26.0,0.4002
2500,-0.836,0.41939806938171387,0.016720987856388092,8.2,74.4,17.4,0.4003,-0.836,0.38651981949806213,0.11948598176240921,8.2,63.0,28.8,0.4003,-0.824,0.19845879077911377,0.09432893991470337,8.8,57.8,33.4,0.4003,-0.856,0.4232494831085205,0.0427691787481308,7.2,70.2,22.6,0.4003
3000,-0.876,0.3450356721878052,0.0493798553943634,6.2,70.8,23.0,0.4004,-0.844,0.27329814434051514,0.04066464304924011,7.8,70.4,21.8,0.4004,-0.828,0.24012334644794464,0.03698105365037918,8.6,62.4,29.0,0.4004,-0.876,0.2330552339553833,0.07227932661771774,6.2,70.2,23.6,0.4004
3500,-0.888,0.30441993474960327,0.0678853839635849,5.6,69.6,24.8,0.4004,-0.852,0.41880184412002563,0.051414016634225845,7.4,65.8,26.8,0.4004,-0.844,0.3321625292301178,0.06060280650854111,7.8,66.8,25.4,0.4004,-0.896,0.6930574774742126,0.062342122197151184,5.2,72.2,22.6,0.4004
4000,-0.88,0.14332467317581177,0.04532274976372719,6.0,69.0,25.0,0.4005,-0.856,0.31724801659584045,0.06688182055950165,7.2,69.8,23.0,0.4005,-0.848,0.37021881341934204,0.14259938895702362,7.6,62.4,30.0,0.4005,-0.856,0.23739174008369446,0.0863705649971962,7.2,65.6,27.2,0.4005
4500,-0.904,0.39821794629096985,0.0582248717546463,4.8,72.0,23.2,0.4006,-0.848,0.21971315145492554,0.09867412596940994,7.6,68.4,24.0,0.4006,-0.808,0.2797515392303467,0.04315120354294777,9.6,65.2,25.2,0.4006,-0.864,0.25284045934677124,0.05558554083108902,6.8,67.0,26.2,0.4006
5000,-0.86,0.17295053601264954,0.052369166165590286,7.0,64.4,28.6,0.4006,-0.844,0.4683980345726013,0.0760936588048935,7.8,67.0,25.2,0.4006,-0.868,0.1538255512714386,0.04732910171151161,6.6,69.6,23.8,0.4006,-0.86,0.31698060035705566,0.05239985138177872,7.0,71.4,21.6,0.4006
5500,-0.856,0.17054279148578644,0.03545188531279564,7.2,68.4,24.4,0.4007,-0.828,0.3777046203613281,0.07117009162902832,8.6,66.0,25.4,0.4007,-0.82,0.30100947618484497,0.040535420179367065,9.0,66.2,24.8,0.4007,-0.908,0.2645869255065918,0.03230311721563339,4.6,75.6,19.8,0.4007
6000,-0.872,0.24172887206077576,0.07502759993076324,6.4,70.0,23.6,0.4007,-0.828,0.36459630727767944,0.05671834945678711,8.6,64.8,26.6,0.4007,-0.868,0.2035958170890808,0.04887652397155762,6.6,70.4,23.0,0.4007,-0.82,0.19193635880947113,0.023628052324056625,9.0,69.8,21.2,0.4007
6500,-0.82,0.385824054479599,0.06297034025192261,9.0,65.8,25.2,0.4008,-0.784,0.15217383205890656,0.057434700429439545,10.8,60.2,29.0,0.4008,-0.824,0.27596646547317505,0.03978299722075462,8.8,68.6,22.6,0.4008,-0.872,0.15150873363018036,0.024129539728164673,6.4,69.2,24.4,0.4008
7000,-0.848,0.33570533990859985,0.0485244020819664,7.6,65.0,27.4,0.4009,-0.824,0.2992701232433319,0.06738347560167313,8.8,68.0,23.2,0.4009,-0.836,0.2506725788116455,0.056336864829063416,8.2,70.4,21.4,0.4009,-0.804,0.20586100220680237,0.043358419090509415,9.8,67.4,22.8,0.4009
